Tabela,Campo,PK,Tipo,Descrição
ponto_extra_aprovacao,cd_ponto_extra,X,integer,
ponto_extra_aprovacao,cd_metrica,X,integer,
ponto_extra_aprovacao,id_valida,,smallint,
ponto_extra_aprovacao,dt_validacao,,timestamp,
ponto_extra_aprovacao,ds_observacao,,text,
ponto_extra_aprovacao,cd_pessoa_usuario,,integer,
ponto_extra_aprovacao,created_at,,timestamp,Data de criação do registro
ponto_extra_aprovacao,updated_at,,timestamp,Data da última atualização do registro
ponto_extra_foto,cd_ponto_extra_foto,X,integer,
ponto_extra_foto,cd_ponto_extra,X,integer,
ponto_extra_foto,ds_caminho,,text,
ponto_extra_foto,nr_latitude,,"numeric(8,6)",
ponto_extra_foto,nr_longitude,,"numeric(8,6)",
ponto_extra_foto,dt_foto,,timestamp,
ponto_extra_foto,created_at,,timestamp,Data de criação do registro
ponto_extra_foto,updated_at,,timestamp,Data da última atualização do registro
ponto_extra_grupo_produto,cd_ponto_extra,X,integer,
ponto_extra_grupo_produto,cd_ponto_produto,X,integer,
ponto_extra_grupo_produto,created_at,,timestamp,Data de criação do registro
ponto_extra_grupo_produto,updated_at,,timestamp,Data da última atualização do registro
ponto_extra_produto,cd_ponto_extra,X,integer,
ponto_extra_produto,cd_produto,X,integer,
ponto_extra_produto,created_at,,timestamp,Data de criação do registro
ponto_extra_produto,updated_at,,timestamp,Data da última atualização do registro
portador,cd_portador,X,integer,
portador,nm_portador,,text,
portador,cd_conta_bancaria,,integer,
portador,nr_sequencia_boleto,,bigint,
portador,nr_sequencia_limite,,bigint,
portador,created_at,,timestamp,Data de criação do registro
portador,updated_at,,timestamp,Data da última atualização do registro
portador,cd_portador,X,integer,
portador,nm_portador,,text,
portador,cd_conta_bancaria,,integer,
portador,nr_sequencia_boleto,,bigint,
portador,nr_sequencia_limite,,bigint,
portador,created_at,,timestamp,Data de criação do registro
portador,updated_at,,timestamp,Data da última atualização do registro
produto,cd_produto,,bigint,
produto,cd_pessoa_filial,,text,
produto,dt_vigencia,,integer,
produto,pr_comissao,,integer,
produto,created_at,,timestamp,Data de criação do registro
produto,updated_at,,timestamp,Data da última atualização do registro
produto,cd_tipo_regiao_venda,,integer,
produto,cd_referencia_externa,,smallint,
produto,cd_produto_comissao,X,smallint,
produto_comissao,cd_produto,,bigint,
produto_comissao,cd_pessoa_filial,,integer,
produto_comissao,dt_vigencia,,date,
produto_comissao,pr_comissao,,"numeric(5,2)",
produto_comissao,created_at,,timestamp,Data de criação do registro
produto_comissao,updated_at,,timestamp,Data da última atualização do registro
produto_comissao,cd_tipo_regiao_venda,,integer,
produto_comissao,cd_referencia_externa,,text,
produto_comissao,cd_produto,X,integer,
produto_cota,cd_produto_cota,X,integer,
produto_cota,cd_produto,,bigint,
produto_cota,qt_cota,,integer,
produto_cota,cd_pessoa_cliente,,integer,
produto_cota,cd_atividade,,integer,
produto_cota,created_at,,timestamp,Data de criação do registro
produto_cota,updated_at,,timestamp,Data da última atualização do registro
produto_desconto,cd_produto,X,bigint,
produto_desconto,cd_desconto,X,integer,
produto_desconto,dt_inicio_vigencia,,date,
produto_desconto,dt_final_vigencia,,date,
produto_desconto,pr_desconto,,"numeric(5,2)",
produto_desconto,produto_desconto,X,integer,
produto_desconto,created_at,,timestamp,Data de criação do registro
produto_desconto,updated_at,,timestamp,Data da última atualização do registro
produto_filial_parametro,cd_produto,X,bigint,
produto_filial_parametro,cd_pessoa_filial,X,integer,
produto_filial_parametro,qt_multiplo,,integer,
produto_filial_parametro,qt_venda_minima,,integer,
produto_filial_parametro,created_at,,timestamp,Data de criação do registro
produto_filial_parametro,updated_at,,timestamp,Data da última atualização do registro
produto_filial_parametro,cd_produto,X,bigint,
produto_filial_parametro,cd_pessoa_filial,X,integer,
produto_filial_parametro,qt_multiplo,,integer,
produto_filial_parametro,qt_venda_minima,,integer,
produto_filial_parametro,created_at,,timestamp,Data de criação do registro
produto_filial_parametro,updated_at,,timestamp,Data da última atualização do registro
produto_fornecedor,cd_produto,X,bigint,
produto_fornecedor,cd_pessoa,,integer,
produto_fornecedor,created_at,,timestamp,Data de criação do registro
produto_fornecedor,updated_at,,timestamp,Data da última atualização do registro
produto_icms,cd_produto_icms,X,integer,
produto_icms,cd_produto,,bigint,
produto_icms,nr_csta,,text,
produto_icms,nr_cstb,,text,
produto_icms,dt_vigencia,,date,
produto_icms,cd_uf_origem,,integer,
produto_icms,cd_uf_destino,,integer,
produto_icms,pr_base,,"numeric(15,5)",
produto_icms,pr_aliquota,,"numeric(15,5)",
produto_icms,pr_isento,,"numeric(15,5)",
produto_icms,pr_outras,,"numeric(15,5)",
produto_icms,pr_diferimento,,"numeric(15,5)",
